step;amount;oldbalanceOrg;newbalanceOrig;oldbalanceDest;newbalanceDest;type_num;isFlaggedFraud;isFraud;type;nameOrig;nameDest
2;37493.87;0;0;1.09E+16;1.11E+16;2;0;0;CASH_OUT;C1760622380;C1122118227
2;1216.72;11256;10039.28;0;0;4;0;0;PAYMENT;C1907758892;M1487540468
2;9213.89;11392;2178.11;0;0;4;0;0;PAYMENT;C1952473604;M1802415698
2;105173.53;8721651.58;8826825.11;139915.18;64836.97;1;0;0;CASH_IN;C1987154353;C793315160
2;9371.85;7312;0;0;0;4;0;0;PAYMENT;C2042120257;M1296153103
2;9707.6;1139;0;0;0;4;0;0;PAYMENT;C2142411945;M505756829
2;14949.84;14949.84;0;18161.79;33111.63;2;0;1;CASH_OUT;C395257482;C1032986144
2;963532.14;963532.14;0;132382.57;1095914.71;2;0;1;CASH_OUT;C430329518;C991505714
2;1096187.24;1096187.24;0;0;1096187.24;2;0;1;CASH_OUT;C77163673;C644345897
3;6064.7;31164;25099.3;0;0;4;0;0;PAYMENT;C1002872041;M180017308
3;10539.37;10539.37;0;0;0;5;0;1;TRANSFER;C1134864869;C118648358
3;22877;22877;0;0;0;5;0;1;TRANSFER;C1247938090;C1002031672
3;963.64;0;0;0;0;4;0;0;PAYMENT;C131343682;M1292487390
3;14685.31;51043;36357.69;0;0;4;0;0;PAYMENT;C1519396442;M1781668126
3;10539.37;10539.37;0;0;10539.37;2;0;1;CASH_OUT;C1984954272;C124540047
3;1651.39;400;0;0;0;4;0;0;PAYMENT;C2066066225;M536994956
3;22877;22877;0;0;22877;2;0;1;CASH_OUT;C2126545173;C573200870
3;4155.21;0;0;0;0;4;0;0;PAYMENT;C2135267024;M1610803524
3;168846.2;2364949.86;2533796.06;1.15E+16;1.12E+16;1;0;0;CASH_IN;C500096147;C11003494
3;9419.48;22393;12973.52;0;0;4;0;0;PAYMENT;C622690269;M2028372993
4;1813.69;30948;29134.31;0;0;4;0;0;PAYMENT;C1186663391;M1444912530
4;86070.17;86070.17;0;0;86070.17;2;0;1;CASH_OUT;C1699873763;C560041895
4;13707.11;13707.11;0;0;0;5;0;1;TRANSFER;C17222024;C410033330
4;86070.17;86070.17;0;0;0;5;0;1;TRANSFER;C1844941220;C1191544932
4;169941.73;169941.73;0;0;169941.73;2;0;1;CASH_OUT;C2026325575;C1394526584
4;2930418.44;2930418.44;0;3616012.1;6963508.84;2;0;1;CASH_OUT;C2044690596;C932583850
4;2930418.44;2930418.44;0;0;0;5;0;1;TRANSFER;C2047521920;C449261773
4;1.00E+07;1.00E+07;0;0;9941904.21;2;0;1;CASH_OUT;C351297720;C766681183
4;169941.73;169941.73;0;0;0;5;0;1;TRANSFER;C540962910;C2127862399
4;13707.11;13707.11;0;0;13707.11;2;0;1;CASH_OUT;C556223230;C2094777811
4;180145.39;0;0;268130.78;448276.17;2;0;0;CASH_OUT;C612686775;C33524623
4;1.00E+07;1.29E+16;2930418.44;0;0;5;0;1;TRANSFER;C7162498;C945327594
4;473991.14;0;0;1146410.94;2648013.13;2;0;0;CASH_OUT;C756222660;C1286084959
5;298431.03;3119966.4;3418397.43;5521401.49;4670978.14;1;0;0;CASH_IN;C1111041582;C1446521801
5;120074.73;120074.73;0;0;120074.73;2;0;1;CASH_OUT;C1174000532;C410033330
5;3044.66;78170.42;75125.76;0;0;4;0;0;PAYMENT;C1290606579;M1934234778
5;120074.73;120074.73;0;0;0;5;0;1;TRANSFER;C1409933277;C162114152
5;10119.47;10119.47;0;0;0;5;0;1;TRANSFER;C1775746074;C746009679
5;301488.1;2981099.97;3282588.06;519050.1;217562.01;1;0;0;CASH_IN;C1851741304;C481402298
5;10119.47;10119.47;0;0;10119.47;2;0;1;CASH_OUT;C213063852;C922511709
5;12479.16;0;0;0;0;4;0;0;PAYMENT;C368223295;M1281743075
5;60726.57;60726.57;0;0;0;5;0;1;TRANSFER;C383882703;C1807010830
5;5272.65;0;0;0;0;4;0;0;PAYMENT;C412496882;M124454336
5;328776.1;4547034.84;4875810.94;1019467.84;962737.6;1;0;0;CASH_IN;C804559024;C977993101
5;17101.74;1.03E+16;1.03E+16;84261.95;60314.73;1;0;0;CASH_IN;C83721081;C1997859171
5;60726.57;60726.57;0;1.30E+16;1.31E+16;2;0;1;CASH_OUT;C840095827;C803116137
5;7561.15;105180;97618.85;0;0;4;0;0;PAYMENT;C920033195;M679681385
6;25975.86;25975.86;0;98152;28041.27;2;0;1;CASH_OUT;C1004271827;C451934410
6;17246;17246;0;0;101717.84;5;0;1;TRANSFER;C1034673425;C1379589736
6;180870.42;62593.04;243463.47;1512928.31;2084795.89;1;0;0;CASH_IN;C1114131846;C798678484
6;10565;10565;0;36275;24380.72;2;0;1;CASH_OUT;C1191732945;C418964192
6;121885.87;0;0;1665816.46;2941514.43;2;0;0;CASH_OUT;C1216926186;C985934102
6;10224;10224;0;0;10224;2;0;1;CASH_OUT;C1284098442;C801412408
6;21208.42;40656;19447.58;0;0;4;0;0;PAYMENT;C1321368652;M304088688
6;7930.71;399979.13;392048.42;0;0;4;0;0;PAYMENT;C1325269327;M587141615
6;33114.03;10245;0;0;0;4;0;0;PAYMENT;C1409875105;M275122069
6;13704;13704;0;3382.84;143675.35;2;0;1;CASH_OUT;C1421965867;C1438594533
6;43920.58;107650;63729.42;0;0;4;0;0;PAYMENT;C1453365852;M2002705120
6;17246;17246;0;0;17246;2;0;1;CASH_OUT;C1484518113;C978609035
6;216422;216422;0;10097;48630.5;2;0;1;CASH_OUT;C1547714604;C7881234
6;390456.9;8646263.11;9036720.01;501964.17;345283.88;1;0;0;CASH_IN;C1566364176;C728885526
6;85354.69;85354.69;0;11170;10612.55;2;0;1;CASH_OUT;C158801009;C382431057
6;13704;13704;0;0;1658746.09;5;0;1;TRANSFER;C1735554279;C12793273
6;5570.02;9022;3451.98;0;0;4;0;0;PAYMENT;C1810113242;M576577375
6;30521.02;30521.02;0;0;30521.02;2;0;1;CASH_OUT;C1813769162;C1249547869
6;284467.43;0;0;2283034.88;5352935.74;2;0;0;CASH_OUT;C1863515296;C991505714
6;33332.86;33332.86;0;0;0;5;0;1;TRANSFER;C2025652936;C1662235713
6;2654.07;6156;3501.93;0;0;4;0;0;PAYMENT;C217814269;M82565330
6;10224;10224;0;0;0;5;0;1;TRANSFER;C365589282;C908043384
6;17320.91;17320.91;0;6244.44;0;2;0;1;CASH_OUT;C436661284;C522173599
6;26768.5;26768.5;0;0;0;5;0;1;TRANSFER;C457596841;C1956477953
6;19642.29;10270;0;0;0;4;0;0;PAYMENT;C50592708;M1289292854
6;163607.02;2999961.05;3163568.06;5289541.23;4923997;1;0;0;CASH_IN;C537329066;C728526866
6;19150.12;0;0;0;0;4;0;0;PAYMENT;C553276023;M396875464
6;85354.69;85354.69;0;0;0;5;0;1;TRANSFER;C558400671;C527482085
6;86835.95;7596484.86;7683320.81;108926.37;22090.43;1;0;0;CASH_IN;C56859396;C701692548
6;216422;216422;0;0;0;5;0;1;TRANSFER;C666642000;C1315078366
6;26768.5;26768.5;0;101976;128744.5;2;0;1;CASH_OUT;C682812632;C256417920
6;33332.86;33332.86;0;31002;0;2;0;1;CASH_OUT;C685428529;C1626759869
6;10565;10565;0;0;0;5;0;1;TRANSFER;C777407608;C1790657739
6;17320.91;17320.91;0;0;0;5;0;1;TRANSFER;C788790720;C1589547066
6;4044.24;0;0;0;0;4;0;0;PAYMENT;C848490487;M43951584
6;25975.86;25975.86;0;0;0;5;0;1;TRANSFER;C864622150;C41792607
6;7515.48;73252;65736.52;0;0;4;0;0;PAYMENT;C899111685;M1196288844
6;30521.02;30521.02;0;0;0;5;0;1;TRANSFER;C903383636;C904300960
6;291681.95;527557.73;819239.69;297874.5;6192.55;1;0;0;CASH_IN;C93720343;C997608398
7;462312.19;27626.25;0;1.70E+16;1.81E+16;2;0;0;CASH_OUT;C1017502292;C1883840933
7;441445.58;441445.58;0;0;0;5;0;1;TRANSFER;C1023505879;C847761155
7;141917.76;0;0;1.04E+16;1.02E+16;2;0;0;CASH_OUT;C1037000742;C667346055
7;42175.72;0;0;47055.59;89231.32;2;0;0;CASH_OUT;C1042204909;C1934714849
7;17639.89;0;0;0;0;4;0;0;PAYMENT;C1062574114;M1857382731
7;12317.87;0;0;0;0;4;0;0;PAYMENT;C1075676110;M997919131
7;9118;7323;0;0;0;4;0;0;PAYMENT;C1120518305;M641975103
7;490606.82;0;0;3459474.62;5632383.36;5;0;0;TRANSFER;C1162203072;C1899073220
7;164;164;0;4068;0;2;0;1;CASH_OUT;C1173659886;C1769947269
7;148725.69;8279043.74;8427769.43;741102.29;592376.6;1;0;0;CASH_IN;C1208826944;C1626759869
7;3036.06;20867;17830.94;0;0;4;0;0;PAYMENT;C1214336947;M1320400528
7;1440.15;602765.02;601324.87;0;0;4;0;0;PAYMENT;C1222936867;M591153984
7;3288.27;2907;0;0;0;4;0;0;PAYMENT;C1277692255;M185129701
7;21453.68;1777.23;0;164540.69;1542240.66;2;0;0;CASH_OUT;C1395165116;C1825634724
7;18745.74;0;0;0;0;4;0;0;PAYMENT;C1445905688;M1552771166
7;164;164;0;0;0;5;0;1;TRANSFER;C1455969984;C2119910556
7;5099.7;11983;6883.3;0;0;4;0;0;PAYMENT;C151425301;M308924095
7;78771.91;0;0;85221;168910.66;2;0;0;CASH_OUT;C1517690313;C22918364
7;5460002.91;5460002.91;0;0;9281535.44;2;0;1;CASH_OUT;C1588880909;C1570256460
7;14176.13;0;0;20447;1.21E+16;2;0;0;CASH_OUT;C1589066091;C68113386
7;367351.33;1011603.49;1378954.81;1.01E+16;1.30E+16;1;0;0;CASH_IN;C1626414193;C248609774
7;10429.99;13421;2991.01;0;0;4;0;0;PAYMENT;C1644150693;M535129918
7;2150.24;24808;22657.76;0;0;4;0;0;PAYMENT;C1677741840;M1135268579
7;5975.73;200681;194705.27;0;0;4;0;0;PAYMENT;C1680548214;M965023582
7;165482.39;236733;71250.61;69574;242656.13;2;0;0;CASH_OUT;C1683459702;C569675628
7;21729;21729;0;0;0;5;0;1;TRANSFER;C1686905633;C824421402
7;25778.11;0;0;0;0;4;0;0;PAYMENT;C1797717514;M1514903181
7;3439.96;10030.6;6590.64;0;0;4;0;0;PAYMENT;C1803439542;M1549393863
7;69915.54;1694936.15;1764851.7;358777.23;168705.77;1;0;0;CASH_IN;C1821826140;C1100439041
7;4796.19;20774;15977.81;0;0;4;0;0;PAYMENT;C1838225797;M179690980
7;9860.73;15658;5797.27;0;0;4;0;0;PAYMENT;C1885746212;M860090843
7;6694.83;0;0;0;0;4;0;0;PAYMENT;C1951661557;M1113003845
7;3266.43;9662.71;6396.28;0;0;4;0;0;PAYMENT;C1957315654;M1325241326
7;17126.69;8146;0;0;0;4;0;0;PAYMENT;C2023156074;M1313152922
7;79190.14;42849;122039.14;421287.65;2098492.52;1;0;0;CASH_IN;C2025893493;C1019670582
7;15391.21;0;0;0;0;4;0;0;PAYMENT;C2044025175;M882685984
7;363839.83;6442120.33;6805960.15;8802349.55;1.45E+15;1;0;0;CASH_IN;C2066191532;C1636786811
7;262434.54;262434.54;0;0;0;5;0;1;TRANSFER;C2101686389;C612008977
7;17670.21;60190;42519.79;0;0;4;0;0;PAYMENT;C246442443;M402081684
7;4273.97;19758;15484.03;0;0;4;0;0;PAYMENT;C254551586;M769394051
7;71585.64;0;0;171550.98;143252.84;2;0;0;CASH_OUT;C331319862;C2145041211
7;5105.27;903;0;0;0;4;0;0;PAYMENT;C350972994;M1555562654
7;262434.54;262434.54;0;19525.79;438233.86;2;0;1;CASH_OUT;C383717053;C380242442
7;441445.58;441445.58;0;98993.5;0;2;0;1;CASH_OUT;C398085606;C2072030256
7;15786.96;2900;0;0;0;4;0;0;PAYMENT;C412791230;M320686867
7;21571;21571;0;30797.41;71140.3;2;0;1;CASH_OUT;C452475723;C2089016471
7;655143.29;34767;0;22053.28;669932.79;5;0;0;TRANSFER;C47491804;C1671179293
7;2512.95;144780;142267.05;25343;27855.95;3;0;0;DEBIT;C518355242;C1463758439
7;15171.77;0;0;0;0;4;0;0;PAYMENT;C552494603;M1088692104
7;76595.52;0;0;106099;638228.31;2;0;0;CASH_OUT;C562342489;C1583408697
7;142984.74;0;0;549007;0;2;0;0;CASH_OUT;C572720057;C179678995
7;125178.51;0;0;195766.6;323327.96;2;0;0;CASH_OUT;C584782680;C1634190383
7;32292.74;0;0;0;0;4;0;0;PAYMENT;C624364185;M386461963
7;5460002.91;5460002.91;0;0;0;5;0;1;TRANSFER;C666654362;C1726301214
7;21729;21729;0;27335;0;2;0;1;CASH_OUT;C693427358;C1101441872
7;49565.82;7262986.97;7312552.79;94873.55;45307.73;1;0;0;CASH_IN;C77077379;C423583818
7;21571;21571;0;0;0;5;0;1;TRANSFER;C786114805;C1666314150
7;7550.59;108761;101210.41;0;0;4;0;0;PAYMENT;C814630491;M115857872
7;78023.16;0;0;568954.63;522428.46;2;0;0;CASH_OUT;C831025968;C1615804266
7;80184.8;1752;0;41304.43;147988.14;2;0;0;CASH_OUT;C847413359;C1475395523
7;6976.42;59428;52451.58;0;0;4;0;0;PAYMENT;C855842950;M241573605
7;181623.29;1543951.78;1725575.06;3679564.83;5597078.49;1;0;0;CASH_IN;C888329126;C1303868418
7;30030.44;0;0;362416.81;392447.25;2;0;0;CASH_OUT;C936706583;C875761527
7;5483.7;120289;114805.3;0;0;4;0;0;PAYMENT;C944929384;M1141714120
7;14521.69;0;0;0;0;4;0;0;PAYMENT;C957421054;M901193360
7;11565.03;9135;0;0;0;4;0;0;PAYMENT;C974664216;M198821790
8;29494.98;6508169.62;6537664.6;52953;711123.07;1;0;0;CASH_IN;C1022583148;C771303504
8;1078013.76;0;0;0;970749.68;5;0;1;TRANSFER;C1026280121;C277510102
8;29308.55;0;0;0;0;4;0;0;PAYMENT;C1031721839;M220772619
8;16133.14;7556;0;0;0;4;0;0;PAYMENT;C1034858264;M1610701672
8;3555.37;0;0;0;0;4;0;0;PAYMENT;C1040954798;M72268217
8;4020.02;1762519.07;1758499.06;0;0;4;0;0;PAYMENT;C105334416;M2038944041
8;73716.54;0;0;1243447.29;1436827.56;2;0;0;CASH_OUT;C1075788031;C888005223
8;25823.14;0;0;138267.47;470082.93;2;0;0;CASH_OUT;C11071984;C731253803
8;16786.48;9974;0;0;0;4;0;0;PAYMENT;C1112882900;M77235930
8;86856.49;0;0;768071.08;519020.08;2;0;0;CASH_OUT;C1113042425;C1305075214
8;310548.37;11312;321860.37;775548.59;212257.37;1;0;0;CASH_IN;C1130629818;C500153041
8;74271.2;0;0;1962433.35;2261741.99;2;0;0;CASH_OUT;C1131650115;C1220911229
8;292996.52;0;0;589214.72;2281735.27;2;0;0;CASH_OUT;C1133663588;C566698125
8;10809.94;24666.13;13856.2;0;0;4;0;0;PAYMENT;C1144708025;M1202760240
8;284682.63;1.32E+16;1.35E+16;1047997.06;1357168.27;1;0;0;CASH_IN;C1149268243;C1406749291
8;57363.18;1672642.21;1730005.39;111461;103481.89;1;0;0;CASH_IN;C1173070775;C800097916
8;205951.52;0;0;2509643.74;2826797.81;2;0;0;CASH_OUT;C1179208684;C1065997164
8;9617.61;4232;13849.61;0;1494748.17;1;0;0;CASH_IN;C11964442;C956986674
8;1996.17;1996.17;0;0;0;5;0;1;TRANSFER;C1198040187;C1828047633
8;5977.19;5291;0;0;0;4;0;0;PAYMENT;C1199231926;M1225909483
8;112501.06;29446;0;7081;119582.06;2;0;0;CASH_OUT;C1214514486;C1200233967
8;10409.24;72983;62573.76;0;0;4;0;0;PAYMENT;C1235782822;M1485728890
8;19663.62;1167;0;0;0;4;0;0;PAYMENT;C1238427956;M796891327
8;5440.74;0;0;0;0;4;0;0;PAYMENT;C1240123471;M1588049067
8;550230.59;0;0;2975046.24;3614408.95;5;0;0;TRANSFER;C1245067245;C1532153384
8;303680.14;1689791.92;1993472.06;335366.62;31686.49;1;0;0;CASH_IN;C1249432339;C542895457
8;3490.36;0;0;0;0;4;0;0;PAYMENT;C125598509;M221793094
8;136683.68;0;0;754306.79;854165.83;2;0;0;CASH_OUT;C1266271278;C957388291
8;169606.77;0;0;219924.02;0;2;0;0;CASH_OUT;C1268424133;C2070626006
8;20980.82;0;0;0;0;4;0;0;PAYMENT;C1271004396;M1141605626
8;4295.92;61158;56862.08;0;0;4;0;0;PAYMENT;C1275839636;M1827625158
8;15714.25;0;0;0;0;4;0;0;PAYMENT;C1279834874;M943023730
8;234748.01;4278653.23;4513401.24;294841.02;53928.75;1;0;0;CASH_IN;C1286123940;C669771073
8;3888.97;30982;27093.03;0;0;4;0;0;PAYMENT;C1301265102;M1937161224
8;157527.14;3863462.9;4020990.04;372859;343807.88;1;0;0;CASH_IN;C1310870878;C1282745381
8;575.17;0;0;110892.74;218486.67;2;0;0;CASH_OUT;C1314570420;C2082673402
8;154885.42;60234;215119.42;105816.65;700941.98;1;0;0;CASH_IN;C1323401276;C1897050650
8;19375.26;0;0;0;0;4;0;0;PAYMENT;C1327514069;M1743645084
8;50444.08;507444;557888.08;0;0;1;0;0;CASH_IN;C1342297090;C1291286504
8;3046.16;10456.54;7410.38;0;0;4;0;0;PAYMENT;C1360870920;M1659540162
8;165345.15;1024313.87;858968.72;464969.16;563462.86;2;0;0;CASH_OUT;C1363320928;C383296094
8;9530.25;393;0;0;0;4;0;0;PAYMENT;C1377312528;M1871524364
8;1934.74;1478727.54;1476792.81;0;0;4;0;0;PAYMENT;C1379917106;M1248338377
8;43092;43092;0;660641.74;1158662.9;2;0;1;CASH_OUT;C1395071924;C79685693
8;604.98;1942126.97;1941521.99;0;0;4;0;0;PAYMENT;C1412545627;M620330073
8;19436.24;61082.11;41645.87;0;0;4;0;0;PAYMENT;C1421367050;M1527021731
8;4520.78;223107;218586.22;0;0;4;0;0;PAYMENT;C142691421;M1283957773
8;13312.79;103620.29;90307.49;0;0;4;0;0;PAYMENT;C1435382564;M995800830
8;27469.23;0;0;0;0;4;0;0;PAYMENT;C1448120606;M829798883
8;129115.6;1.38E+16;1.39E+16;1.46E+15;1.45E+15;1;0;0;CASH_IN;C1453138968;C1636786811
8;324040.05;155782;0;343637.72;1021943.57;2;0;0;CASH_OUT;C1455206411;C2084129621
8;6543.33;60642.39;54099.06;0;0;4;0;0;PAYMENT;C1476940574;M856283783
8;1286256.56;0;0;5002520.18;6347068.5;5;0;0;TRANSFER;C1479309873;C1149273771
8;6610.49;6490.99;0;0;0;4;0;0;PAYMENT;C148010227;M1278859058
8;4785.41;30493;25707.59;0;0;4;0;0;PAYMENT;C1494135493;M933240659
8;8156.82;1193914.7;1185757.88;0;0;4;0;0;PAYMENT;C1498690052;M1250765481
8;175559.98;1025;176584.98;1.59E+16;1.58E+15;1;0;0;CASH_IN;C1509620427;C1889395764
8;3244.94;40029;36784.06;0;0;4;0;0;PAYMENT;C1512389834;M1851866347
8;191188.45;34948;0;0;267447.06;2;0;0;CASH_OUT;C1517489551;C1496194127
8;400861.46;0;0;729088.03;1454807.63;5;0;0;TRANSFER;C1523286511;C208427878
8;434777.24;2790178.93;2355401.7;133584.06;568361.3;5;0;0;TRANSFER;C1539713485;C1457728035
8;345927.06;0;0;349087.32;904226.76;2;0;0;CASH_OUT;C1581789478;C2065199032
8;161451.02;158811.27;0;194473.7;279348.7;2;0;0;CASH_OUT;C1582876292;C1632716597
8;26289.61;3605939.75;3632229.36;66140.57;39850.96;1;0;0;CASH_IN;C1584607181;C1979585370
8;77155.56;0;0;88760.08;165915.64;2;0;0;CASH_OUT;C1605880123;C104012589
8;8515.55;55284;46768.45;0;0;4;0;0;PAYMENT;C1606531831;M1427512074
8;106334.4;0;0;158719;121150.57;2;0;0;CASH_OUT;C1608520532;C450960851
8;17908.2;186616.07;168707.87;0;0;4;0;0;PAYMENT;C1611090042;M318295459
8;521122.38;2420539.52;2941661.9;720164.18;199041.81;1;0;0;CASH_IN;C1638880474;C1539556581
8;1364.33;10725;9360.67;0;0;4;0;0;PAYMENT;C1648651697;M1656249908
8;4998.24;18977;13978.76;0;0;4;0;0;PAYMENT;C1651697745;M311808843
8;341119.86;1172298.77;831178.91;1.13E+16;1.15E+16;2;0;0;CASH_OUT;C1667288628;C1485516154
8;668712.33;132065.29;0;1057636.74;1679662.6;5;0;0;TRANSFER;C1668276128;C1004780164
8;22987.02;0;0;0;0;4;0;0;PAYMENT;C1676662401;M1306111170
8;7638.38;513;8151.38;8500.33;0;1;0;0;CASH_IN;C1678529210;C737969496
8;43092;43092;0;0;0;5;0;1;TRANSFER;C1683174795;C427998326
8;28469.81;50757;22287.19;6517;0;2;0;0;CASH_OUT;C168569440;C927151297
8;233.3;259;25.7;0;0;4;0;0;PAYMENT;C1703790913;M23679419
8;284788.32;596869;312080.68;254882.02;539670.33;2;0;0;CASH_OUT;C1704651843;C2007792854
8;17228.68;15561;0;0;0;4;0;0;PAYMENT;C1709988478;M253944263
8;379359.38;607884.75;228525.37;0;349978.81;2;0;0;CASH_OUT;C1712537515;C917768476
8;419602.6;28319;0;0;272139.03;2;0;0;CASH_OUT;C1713755306;C1753295732
8;22610.94;0;0;0;0;4;0;0;PAYMENT;C1726075297;M1952420927
8;222;222;0;24708;171647.35;2;0;1;CASH_OUT;C1737727444;C588779235
8;36795.31;0;0;0;0;4;0;0;PAYMENT;C1751417143;M129965176
8;111590.28;1745;113335.28;1.03E+16;1.48E+16;1;0;0;CASH_IN;C1763468181;C1014154376
8;17721.39;205937.53;188216.13;0;0;4;0;0;PAYMENT;C1810297447;M1986387967
8;21698.33;3813036.02;3791337.69;0;0;4;0;0;PAYMENT;C182241131;M455949120
8;19042.54;4353632.07;4372674.61;605506.4;2122191.07;1;0;0;CASH_IN;C1823666379;C191614132
8;29707.86;29707.86;0;0;0;5;0;1;TRANSFER;C1825456600;C570409417
8;8217.03;197757.25;189540.22;0;0;4;0;0;PAYMENT;C1827383720;M2147365188
8;219305.26;29546.88;248852.14;4066187.56;5141218.55;1;0;0;CASH_IN;C1827778660;C1028574311
8;17023.84;10966;0;0;0;4;0;0;PAYMENT;C1830674974;M1676118760
8;1855.27;36540;34684.73;0;0;4;0;0;PAYMENT;C1839614149;M473156117
8;219586.05;21136;0;7641.79;108775.04;2;0;0;CASH_OUT;C1843343821;C280663936
8;97182;0;0;4693000.72;4324988.42;2;0;0;CASH_OUT;C1846994627;C1504109395
